Euscheider Weg,Lünebach,"Wegekreuz; Schaftkreuz, bezeichnet 1806",50.139317,6.33447
(an) Hahnengasse 6,Lünebach,"Oberlichtportal, bezeichnet 1727",50.140587,6.345502
(bei) Hahnengasse 7,Lünebach,"Wegekreuz; aufwändiges nachbarockes Balkenkreuz, Schiefer, bezeichnet 1811",50.140247,6.345295
Hahnengasse 10,Lünebach,"Wohnhaus, bezeichnet 1783",50.140755,6.3449
Helenenberg 7a,Lünebach,"Katholische Pfarrkirche St. Gertrud; romanischer Westturm, 1759 barockes Schiff, 1875 verlängert, um 1965 querhausartige Erweiterung; teilweise Ausstattung",50.137954,6.34852
