Bergstraße 1,Altenkirchen (Pfalz),"ehemalige Schule; eingeschossiger Krüppelwalmdachbau, 1782/83; Ausstattung der Grubenverwaltung, 1820",50.761066,7.621666
Breitenbacher Straße 1,Altenkirchen (Pfalz),"Protestantisches Pfarrhaus; aufgesockelter Putzbau, 1861/62",49.442769,7.320048
Breitenbacher Straße 4,Altenkirchen (Pfalz),"Gasthaus, großvolumiger hausteingegliederter Eckbau; ortsbildprägend",49.442869,7.319715
Schillerstraße 38,Altenkirchen (Pfalz),"Protestantische Pfarrkirche; spätromanischer Chorturm, Ende des 13. Jahrhunderts, barocker Saalbau, bezeichnet 1756, und Turmaufstockung mit welscher Haube von 1818",49.44274,7.320407
Schulstraße 12,Altenkirchen (Pfalz),"Grundschule; großvolumiger Walmdachbau, 1914–19, Architekt Bezirksbaumeister Löhmer, Homburg",50.741108,7.668971
"zwischen Altenkirchen und Frohnhofen, an der St. Wendeler Straße bei der Abzweigung nach Krottelbach",Altenkirchen (Pfalz),"Stundenstein, 1838/40","",""
