Kleinicher Weg 8,Horbruch,"vollständig verschiefertes Wohnhaus, spätes 19. Jahrhundert",49.888995,7.236729
Oberdorf 3,Horbruch,"Quereinhaus, teilweise Fachwerk verschiefert, bezeichnet 1867, durch Ökonomie-Anbauten erweitert; Gesamtanlage",49.888339,7.239155
Oberdorf 10,Horbruch,"Fachwerk-Quereinhaus (teilweise verputzt), abgewalmtes Mansarddach, um 1800; Fachwerk-Wirtschaftstrakt jünger",49.888159,7.238472
Unterdorf 1,Horbruch,"repräsentatives Wohnhaus, spätes 19. Jahrhundert",54.147309,12.225658
Unterdorf 6,Horbruch,"Gemeinschaftshaus, asymmetrischer Putzbau, 1928",54.150468,12.219621
Unterdorf 8,Horbruch,"Hakenhof, um 1888; Fachwerkbau auf massivem Sockel, teilweise verputzt oder verschiefert",54.15137,12.217717
südlich des Ortes am Altbach,Horbruch,"Marienmühle; Fachwerkbau, verschiefert, auf massivem Sockelgeschoss, technische Ausstattung weitgehend erhalten, 19. Jahrhundert",51.9335,12.225388
südöstlich des Ortes am Altbach,Horbruch,"Bergmühle; stattlicher barocker Mansarddachbau, bezeichnet 1804 (Translozierung), im Kern eventuell aus dem 16. Jahrhundert; Mühlteich",48.034944,10.504477
