(gegenüber) Hauptstraße 26,Hausen (Hunsrück),"Backhaus mit freiliegendem Backofen unter einem Dach, spätes 19. Jahrhundert",50.744118,7.427621
(zwischen) Hauptstraße 33 und 35,Hausen (Hunsrück),"Evangelische Pfarrkirche St. Johann; romanischer Ostturm (verschiefertes Fachwerkgeschoss jünger), Langhaus mit Dreiseitschluss, 1747, barockisierende Portalvorbauten, 1913; orts- und landschaftbildprägend",50.743457,7.429472
Hauptstraße 52,Hausen (Hunsrück),"Wohnhaus, teilweise verschiefertes Fachwerk, Krüppelwalmdach, 19. Jahrhundert",50.744169,7.428403
Im Bongert 1,Hausen (Hunsrück),"zweiflügelige Haustür, Jugendstilnachklang, bezeichnet 1923",49.872045,7.373426
