Dorfstraße 1,Korweiler,"Fachwerk-Quereinhaus, teilweise massiv, 19. Jahrhundert",50.106755,7.415467
Dorfstraße 10,Korweiler,"Fachwerk-Quereinhaus, teilweise massiv und verschiefert, 19. Jahrhundert; bauliche Gesamtanlage",50.107737,7.414964
Dorfstraße 11,Korweiler,"Fachwerk-Quereinhaus, teilweise massiv, wohl noch aus dem 18. Jahrhundert; bauliche Gesamtanlage mit Scheune",50.107737,7.414631
Dorfstraße 30,Korweiler,"Katholische Kirche St. Bartholomäus; neubarocker Saalbau, 1907; vor der Kirche Sandsteinkreuz, bezeichnet 1914",50.107339,7.415826
