Hauptstraße,Belgweiler,"Brunnenbecken, Gusseisen, Stromberger Hütte, bezeichnet 1884",49.94356,7.487251
Hauptstraße,Belgweiler,"Katholische Kapelle St. Anna; kleiner Saalbau, erste Hälfte des 18. Jahrhunderts",49.94356,7.487251
Hauptstraße 8,Belgweiler,"Streckhof; Fachwerkhaus, Ökonomietrakt bezeichnet 1872",49.943496,7.486802
Hauptstraße 15,Belgweiler,"Quereinhaus, Fachwerk verputzt, 19. Jahrhundert",49.943925,7.48603
Mühlenweg 3,Belgweiler,"ehemalige Mühle; Fachwerkhaus, Krüppelwalmdach, 18. Jahrhundert",49.944076,7.484808
Wimmersbacher Hof 1,Belgweiler,"Fachwerkhaus, teilweise massiv und verschiefert, zweite Hälfte des 19. Jahrhunderts, Scheune, teilweise Fachwerk; bauliche Gesamtanlage",49.945484,7.504409
"





Hauptstraße",Belgweiler,"Katholische Kapelle St. Anna


",49.94356,7.487251
