Gartenfeld 3,Rohrbach (Hunsrück),"Fachwerk-Quereinhaus, teilweise verschiefert, 19. Jahrhundert",49.88867,7.422492
Hallgarten 2,Rohrbach (Hunsrück),"Fachwerkhaus, erstes Drittel des 19. Jahrhunderts",49.884688,7.420039
Hauptstraße 1,Rohrbach (Hunsrück),"abgewalmter Mansarddachbau, Fachwerk verschiefert, erste Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage mit Scheune",47.396757,15.989976
Hauptstraße 10,Rohrbach (Hunsrück),"Evangelische Kirche; frühklassizistischer Saalbau, 1791; bauliche Gesamtanlage mit Umfeld",47.388314,15.998834
Hauptstraße 15,Rohrbach (Hunsrück),"Backhaus; Fachwerkbau, teilweise massiv und verschiefert, 1840",47.388205,15.995393
Hohlweg 1,Rohrbach (Hunsrück),"Fachwerk-Quereinhaus mit Kniestock, 19. Jahrhundert",49.887497,7.420659
