Dorfstraße 32,Hecken (Hunsrück),"Backhaus; Bruchsteinbau, bezeichnet 1873",52.210342,11.556835
Im Kappesgarten 2,Hecken (Hunsrück),"ehemalige Schule; Fachwerkbau, bezeichnet 1878",49.915197,7.39742
