Hauptstraße 33,Gödenroth,"ehemalige Schule; Fachwerkhaus, verschiefert, Mitte des 19. Jahrhunderts; bauliche Gesamtanlage",50.087605,7.489443
Hauptstraße 33a,Gödenroth,"Evangelische Kirche; frühbarocker Saalbau, 17. oder 18. Jahrhundert, 1844–51 Anbau von Querhaus und Apsis, Bruchstein; bauliche Gesamtanlage mit Friedhof",50.087605,7.489443
Hauptstraße 36,Gödenroth,"ehemaliges Pfarrhaus; Krüppelwalmdachbau, verschiefert, erste Hälfte des 19. Jahrhunderts; bauliche Gesamtanlage mit Garten und Mauer",50.087726,7.488563
Hauptstraße 65,Gödenroth,"Fachwerkhaus, teilweise massiv und verschiefert, abgewalmtes Mansarddach, bezeichnet 1824",50.086559,7.485185
Im Faller 4,Gödenroth,"Fachwerkhaus, teilweise massiv und verschiefert, bezeichnet 1783",50.086524,7.485724
Raiffeisenstraße 2,Gödenroth,"Hakenhof; Fachwerkhaus, teilweise verschiefert, 19. Jahrhundert",50.087865,7.486775
Salzgass 3,Gödenroth,"Fachwerkhaus, verkleidet, abgewalmtes Mansarddach, Anfang des 19. Jahrhunderts",50.087437,7.485455
