Evangelische Kirche,Hauptstraße,Desloch,1751,"barocker Saalbau, bezeichnet 1751, Turm 1857 erhöht",Kein Bild vorhanden,49.718598,7.627336
Wohnhaus,Hauptstraße 43,Desloch,1850!Mitte des 19. Jahrhunderts,"ehemalige Schule; spätklassizistischer Putzbau, Mitte des 19. Jahrhunderts",Kein Bild vorhanden,49.718763,7.627141
Fachwerkhaus,Neuwieser Straße 6,Desloch,1700!18. Jahrhundert,"barockes Fachwerkhaus, verputzt, 18. Jahrhundert",Kein Bild vorhanden,49.718428,7.626617
Einfirsthaus,Schulstraße 9,Desloch,1869,"spätklassizistisches Einfirsthaus, Bruchstein, bezeichnet 1869",Kein Bild vorhanden,49.717622,7.629764
