Püscheid 4, Kescheid,"stattliches Fachwerkhaus einer Hofanlage, teilweise massiv, 18. Jahrhundert"
Püscheid 6, Kescheid,"zweizoniger Wohnteil eines Fachwerk-Quereinhauses, bezeichnet 1737"
Hardter Straße 2, Kescheid,"Hofanlage, 18. Jahrhundert; Fachwerkhaus, Fachwerk-Stallscheune, teilweise massiv"
