Locherhofer Straße 5, Harbach (Landkreis Altenkirchen),"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, im 19. Jahrhundert erweitert"
Hauptstraße 70, Harbach (Landkreis Altenkirchen),"Zeilenwohnhaus, teilweise Fachwerk, 18. Jahrhundert"
Locherhofer Straße 25, Harbach (Landkreis Altenkirchen),"Fachwerk-Quereinhaus, teilweise massiv, zweite Hälfte des 19. Jahrhunderts"
