Niederseelbach 7, Seelbach bei Hamm (Sieg),"Fachwerkhaus, teilweise verschiefert, erste Hälfte des 19. Jahrhunderts"
Am Kloster 20, Seelbach bei Hamm (Sieg),"stattliches Fachwerkhaus, 18. Jahrhundert"
Klosterpforte 10, Seelbach bei Hamm (Sieg),"kleines Fachwerkhaus, 19. Jahrhundert"
