Hauptstraße 3, Hirz-Maulsbach,"Fachwerk-Quereinhaus, 18. und Mitte des 19. Jahrhunderts"
Fiersbacher Straße 31, Hirz-Maulsbach,"Quereinhaus, 19. Jahrhundert, stark erneuert"
