Auf der Kornbitz 1, Derschen,"Fachwerk-Quereinhaus mit Niederlass, teilweise massiv und verkleidet, 18. oder frühes 19. Jahrhundert"
Schmiedengasse ohne Nummer, Derschen,"sogenanntes Gässebackes, Backhaus"
Schmiedengasse 24, Derschen,"Fachwerk-Quereinhaus mit Niederlass, teilweise massiv und verschiefert, 18. Jahrhundert"
