Brühlgasse 8,Schauren (bei Blankenrath),"Katholische Kapelle Jungfrau Maria; Saalbau, 1796",50.022846,7.269958
Hauptstraße 29,Schauren (bei Blankenrath),"Quereinhaus; Fachwerkhaus, teilweise massiv, 18. Jahrhundert",49.807946,7.237187
nördlich von Schauren,Schauren (bei Blankenrath),"Wegekapelle; Saalbau, 19. Jahrhundert",49.806877,7.236864
