"Am Friedhof, auf dem Friedhof",Faid,"Friedhofskreuz, Sandstein, bezeichnet 1847",50.147053,7.119095
Dorfstraße 15,Faid,"Quereinhaus; Fachwerkbau, teilweise massiv, bezeichnet 1750",50.145188,7.11896
Dorfstraße 19,Faid,"Quereinhaus; Fachwerkbau, teilweise massiv, bezeichnet 1839",50.1452,7.118538
Dorfstraße 36,Faid,"Katholische Pfarrkirche St. Stephan; romanischer (?) Westturm, Saalbau 1750; acht Grabkreuze, 17. und 18. Jahrhundert",50.14505,7.117469
"Entepfuhl, Ecke Napoleonsstraße",Faid,Ziehbrunnen mit Brunnenhaus,"",""
Stiergass 1,Faid,"Quereinhaus; Fachwerkbau, teilweise massiv, verputzt, 18. oder 19. Jahrhundert",50.144617,7.117316
