An der Kirche,Sosberg,"Katholische Filialkirche St. Matthias; Saalbau mit Querhaus, bezeichnet 1769, Erweiterung 1926, Vorhalle 1947",50.077709,7.337502
Hauptstraße 13,Sosberg,"Quereinhaus; Fachwerkbau, teilweise massiv, 19. Jahrhundert; Scheune",50.076015,7.336334
Hauptstraße 14,Sosberg,"Quereinhaus; Fachwerkbau, teilweise massiv oder verschiefert, 18. oder 19. Jahrhundert",50.076738,7.337942
(bei) Kirchweg 8,Sosberg,"Kreuz, Gusseisen, Rheinböllener Hütte, Ende des 19. Jahrhunderts",50.076166,7.338598
Mastershausener Weg 1,Sosberg,"Quereinhaus; Fachwerkbau, teilweise verschiefert, bezeichnet 1889",50.077946,7.338939
Steilweg 1,Sosberg,"Fachwerkhaus, 19. Jahrhundert",50.076258,7.336074
Steilweg 3,Sosberg,"Quereinhaus; Fachwerkbau, teilweise massiv, 19. Jahrhundert",50.076316,7.335831
