Mühle,Alte Straße 27,Mündersbach,1860,"ehemalige Mühle; Fachwerkhaus, teilweise massiv, errichtet 1860",Kein Bild vorhanden,50.608549,7.732109
Scheune,"Koblenzer Straße, zu Nr. 11",Mündersbach,1700!18. Jahrhundert,"ehemalige Fachwerkscheune, teilweise massiv, im Kern aus dem 18. Jahrhundert",Kein Bild vorhanden,50.60457,7.732839
Brunnen,Schulstraße,Mündersbach,1850!zweite Hälfte des 19. Jahrhunderts,"Laufbrunnen, Gusseisen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.605421,7.731282
Evangelische Kirche,Schulstraße 3,Mündersbach,1901!1901/02,"ehemalige Schule, errichtet 1901/02, zur Kirche umgebaut 1973",Kein Bild vorhanden,50.605808,7.731864
Kriegerdenkmal,nördlich des Ortes auf dem Friedhof,Mündersbach,"",Kriegerdenkmal 1914/18,Kein Bild vorhanden,50.611947,7.734778
Sieben Buchen,nordwestlich der Ortes; Distrikt Ober dem Stockhahn,Mündersbach,"","ehemalige Gerichtsstätte (?), aus alten Buchen gebildeter Kreis",,50.611477,7.723175
