Brunnen,"Kölbingen, Brunnenstraße, bei Nr. 1",Kölbingen,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.552833,7.935899
Kriegergedächtnisstätte,"Möllingen, Kirchstraße, Ecke Talstraße",Kölbingen,1728,"ehemalige katholische Kapelle St. Josef; kleiner achteckiger Bau, 1728; seit 1928 Kriegergedächtnisstätte",Kein Bild vorhanden,50.549458,7.926926
Fachwerkhaus,"Schönberg, Nr. 2",Kölbingen,1700!um 1700,"Fachwerkhaus mit Niederlass, teilweise verschiefert, um 1700, jüngerer Fachwerkanbau",Kein Bild vorhanden,50.54485,7.935183
Forsthaus,"Schönberg, Nr. 4",Kölbingen,"","Fachwerkhaus mit Niederlass, teilweise massiv und verschiefert, Datierung unklar",Kein Bild vorhanden,50.544177,7.934298
Katholische Kirche Mariä Heimsuchung,"Schönberg, Nr. 5",Kölbingen,1714,"gotisierender Saalbau, 1714; Kruzifix, bezeichnet unter anderem 1898",Kein Bild vorhanden,50.544458,7.934496
