Evangelische Pfarrkirche,"Neukirch, Burbacher Straße 11",Stein-Neukirch,1300!14. Jahrhundert,"Chor aus dem 14. Jahrhundert, Saalbau von 1746, im Kern mittelalterlicher, 1816 weitgehend erneuerter Westturm",Kein Bild vorhanden,50.678164,8.060033
Grabmäler,"Neukirch, Burbacher Straße, bei Nr. 11",Stein-Neukirch,1800!19. Jahrhundert,"im ummauerten Kirchhof: Grabsteine und eiserne Grabkreuze, 19. Jahrhundert",Kein Bild vorhanden,50.678286,8.05983
Brunnen,"Stein, Brunnenstraße",Stein-Neukirch,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.674311,8.047285
Quereinhaus,"Stein, Neukircher Straße 12",Stein-Neukirch,1857!nach 1857,"Fachwerk-Quereinhaus, teilweise verschiefert, wohl kurz nach 1857",Kein Bild vorhanden,50.673837,8.046951
Brunnen,"Stein, Neukircher Straße, bei Nr. 26",Stein-Neukirch,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.67432,8.048736
Quereinhaus,"Stein, Zum Krautgarten 5",Stein-Neukirch,1857!nach 1857,"Quereinhaus, verputzt und verkleidet, wohl kurz nach 1857",Kein Bild vorhanden,50.674301,8.046457
