Schulhaus,"Büdingen, Am Schulplatz 6",Nistertal,1901,"ehemalige Schule; kleiner Typenbau, 1901",Kein Bild vorhanden,50.625686,7.894328
Brücke,"Büdingen, Brückenstraße",Nistertal,1800!19. Jahrhundert,"dreibogige Steinbrücke mit kleinerem vierten Bogen, wohl aus dem 19. Jahrhundert",Kein Bild vorhanden,50.630793,7.899978
Brunnen,"Büdingen, Brunnenstraße, gegenüber Nr. 1",Nistertal,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.626738,7.894154
Katholische Kirche Mariä Himmelfahrt,"Büdingen, Kirchweg 7",Nistertal,1921,"Saalbau, Basalt, 1921",Kein Bild vorhanden,50.625863,7.892012
Bahnhof Erbach,"Erbach, Bahnhofstraße 2",Nistertal,1885!um 1885,"Empfangsgebäude mit Güterschuppen des Bahnhofs Erbach; Typenbau, um 1885",Kein Bild vorhanden,50.632271,7.900911
