Katholische Kirche,"Goldhausen, Hauptstraße",Ruppach-Goldhausen,1875!Ende des 19. Jahrhunderts,"Bruchsteinsaal, Ende des 19. Jahrhunderts; Gesamtanlage mit ehemaligem Pfarrhaus (Hauptstraße 82), Bruchsteinbau, bezeichnet 1896",Kein Bild vorhanden,50.463002,7.87099
Fachwerkhaus,"Goldhausen, Mühlenweg 3",Ruppach-Goldhausen,1700!18. Jahrhundert,"Fachwerkhaus, teilweise verputzt, 18. Jahrhundert",Kein Bild vorhanden,50.46271,7.870223
Goldhäuser Mühle,"Goldhausen, südwestlich des Ortes",Ruppach-Goldhausen,1721,"Mühlenanwesen; Fachwerkbau, teilweise massiv, bezeichnet 1721 und 1780, mit Mühlentechnik",Kein Bild vorhanden,50.46051,7.863496
Fachwerkhaus,"Ruppach, Steineckstraße 3",Ruppach-Goldhausen,1700!18. Jahrhundert,"Fachwerkhaus mit Niederlass, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.461505,7.882048
