Brunnen,"Bergstraße, bei Nr. 13",Bellingen (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseisernes Becken eines Laufbrunnens, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.594118,7.907152
Quereinhaus,Hauptstraße 11a,Bellingen (Westerwald),1637,"Wohnteil eines ehemaligen Fachwerk-Quereinhauses, bezeichnet 1637, in der ersten Hälfte des 19. Jahrhunderts verlängert",Kein Bild vorhanden,50.59223,7.905433
Quereinhaus,Hauptstraße 12,Bellingen (Westerwald),1600!17. oder 18. Jahrhundert,"Fachwerk-Quereinhaus, verkleidet, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.592106,7.905361
Brunnen,"Schulstraße, bei Nr. 7",Bellingen (Westerwald),1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.589407,7.905897
