Hofanlage,Bahnhofstraße 3,Elbingen,1600!17. Jahrhundert,"Streckhof mit Niederlass, teilweise massiv, Fachwerk des 17. Jahrhunderts, Fachwerkscheune, 19. Jahrhundert",Kein Bild vorhanden,50.527754,7.910135
Quereinhaus,Hauptstraße 17,Elbingen,1650!zweite Hälfte des 17. Jahrhunderts,"Wohnteil eines Quereinhauses, Ständerfachwerk aus der zweiten Hälfte des 17. Jahrhunderts",Kein Bild vorhanden,50.528938,7.910794
Kreuz,"Hauptstraße, bei Nr. 17",Elbingen,1753,"Kruzifix, bezeichnet 175(3)",Kein Bild vorhanden,50.529005,7.910877
Kreuz,südwestlich des Ortes auf dem Friedhof,Elbingen,1600!17. oder 18. Jahrhundert,"Kruzufix, Korpus aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.526437,7.906634
