Quereinhaus,Mittelstraße 11,Deesen,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv, 18. Jahrhundert, Bruchstein-Wirtschaftsteil um 1900",Kein Bild vorhanden,50.509904,7.698078
Brunnen,Sayntalstraße,Deesen,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.509574,7.699101
Alte Schule,Schlenkstraße 3,Deesen,1900!um 1900,"ehemalige Schule mit Nebengebäude; Bruchsteinbau, um 1900",Kein Bild vorhanden,50.510339,7.697868
Quereinhaus,Weststraße 1,Deesen,1700!erste Hälfte des 18. Jahrhunderts,"ehemaliges Fachwerk-Quereinhaus (?), teilweise massiv, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.509881,7.697413
