Quereinhaus,Flurstraße 2,Atzelgift,1750!zweite Hälfte des 18. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv und verkleidet, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,50.69644,7.825682
Brunnen,Marienstätter Straße,Atzelgift,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",,nope,nope
