Kriegerdenkmal,"Auf der Bitz, auf dem Friedhof",Lochum,"",Kriegerdenkmal des Ersten und Zweiten Weltkriegs,Kein Bild vorhanden,50.612023,7.86108
Brunnen,Hauptstraße,Lochum,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.609606,7.859704
Gemeindehaus,Hauptstraße 10,Lochum,1900!um 1900,"ehemalige Schule, Quadermauerwerk, um 1900",,50.609912,7.860199
