Quereinhaus,Alte Dorfstraße 15,Astert,1850!zweite Hälfte des 19. Jahrhunderts,"Fachwerk-Quereinhaus, teilweise massiv, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.693679,7.779816
Wegekapelle,Hauptstraße,Astert,1909,"Wegekapelle, Backsteinbau, bezeichnet 1909",,nope,nope
