Brunnen,Hauptstraße,Goddert,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",,50.548004,7.742517
Hofanlage,Hauptstraße 23,Goddert,"",Fachwerkstreckhof,,50.548151,7.743553
Hofanlage,Hauptstraße 24,Goddert,1700!18. Jahrhundert,"Streckhof; Fachwerkbau, teilweise massiv, 18. Jahrhundert",,50.548176,7.743811
Hofanlage,Hauptstraße 28,Goddert,"",Fachwerkstreckhof,,50.54804,7.743946
