Quereinhaus,Hauptstraße 25,Mudenbach,1800!19. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv und verschiefert, 19. Jahrhundert",Kein Bild vorhanden,50.66728,7.734943
Steinerner Pfeiler,nördlich des Ortes; Distrikt Naße,Mudenbach,1595,"Steinsäule, bezeichnet 1595",Kein Bild vorhanden,50.681136,7.740252
