Hofanlage,"Burbach, Nisterstraße 9",Mörsbach,1750!zweite Hälfte des 18. Jahrhunderts,"Streckhof; Fachwerk aus der zweiten Hälfte des 18. Jahrhunderts, Zierverschieferung um 1900",Kein Bild vorhanden,50.729262,7.750506
Wohnstallhaus,"Niedermörsbach, Hauptstraße 20",Mörsbach,1800!erste Hälfte des 19. Jahrhunderts,"Wohnstallhaus; Fachwerkbau, teilweise massiv, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.724846,7.767117
Quereinhaus,"Niedermörsbach, Hauptstraße 22",Mörsbach,1700!18. Jahrhundert,"Wohnteil eines Quereinhauses (?), teilweise massiv und verkleidet, Fachwerk wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.724901,7.767369
Quereinhaus,"Obermörsbach, Mittelstraße 9",Mörsbach,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, verkleidet, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.724492,7.779104
Hofanlage,"Obermörsbach, Mittelstraße 21",Mörsbach,1750!zweite Hälfte des 18. Jahrhunderts,"Streckhof; Fachwerk, zweite Hälfte des 18. und erste Hälfte des 19. Jahrhunderts, massiver Bauteil, 20. Jahrhundert",,50.724723,7.777016
