Evangelische Pfarrkirche,"Wölferlingen, Hauptstraße",Wölferlingen,1751,"Saalbau, 1751",Kein Bild vorhanden,50.563459,7.849621
Kriegerdenkmäler,"Wölferlingen, Hauptstraße",Wölferlingen,"","Kriegerdenkmal 1870/71; Kriegerdenkmal 1914/18, nach 1945 erweitert",,50.563358,7.849967
Brunnenkammer,"Düringen, Düringer Straße",Wölferlingen,"",Brunnenkammer,,nope,nope
