Fachwerkhaus,Bergstraße 9,Schenkelberg,"","Fachwerkhaus, teilweise massiv und verschiefert",,50.582232,7.78194
Brunnen,"Hauptstraße, bei Nr. 20",Schenkelberg,1850!zweite Hälfte des 19. Jahrhunderts,"gusseiserner Laufbrunnen, zweite Hälfte des 19. Jahrhunderts",,50.581271,7.781233
Katholische Pfarrkirche Zum Herzen Jesu,Hauptstraße 22,Schenkelberg,1750,"Saalbau, 1750, 1929 erweitert",,50.581325,7.781237
