Fachwerkhaus,In der Trift 1,Simmern (Westerwald),"","Fachwerkhaus aus Niederelbert, transloziert",Kein Bild vorhanden,50.390614,7.677727
Forstamt Neuhäusel,Industriestraße 1,Simmern (Westerwald),1897,"eingeschossiger Klinkerbau, bezeichnet 1897",Kein Bild vorhanden,50.383539,7.702105
Forsthaus,Schloßstraße 16,Simmern (Westerwald),1868,"ehemaliges Forsthaus; eingeschossiger Backsteinbau, (neu) bezeichnet 1868",Kein Bild vorhanden,50.3872,7.675396
Barbarahof,Siebenbornstraße 1,Simmern (Westerwald),1700!18. Jahrhundert,"Streuhof; stattliches Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Fachwerk-Wirtschaftsgebäude, teilweise massiv, 18. und 19. Jahrhundert",Kein Bild vorhanden,50.39039,7.672699
