Katholische Filialkirche Mariä Geburt,Kirchstraße 2,Irmtraut,"","kleiner Saalbau, im Kern wohl mittelalterlich",Kein Bild vorhanden,50.554478,8.059958
Fachwerkhaus,Kreuzstraße 6,Irmtraut,1700!18. Jahrhundert,"verputztes und verkleidetes Fachwerkhaus, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.5559,8.060602
Quereinhaus,Mainzer Landstraße 18,Irmtraut,1700!18. Jahrhundert,"Fachwerk-Quereinhaus, teilweise massiv, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.555101,8.060282
Friedhofskreuz,"Westring, auf dem Friedhof",Irmtraut,1821,"Friedhofskreuz, bezeichnet 1821",Kein Bild vorhanden,50.555344,8.058105
Heiligenhäuschen,nordwestlich des Ortes an der K 51,Irmtraut,1903,"Heiligenhäuschen; Backstein- und Sichtfachwerk, 1903, aufwendige Dekorationsmalerei",,nope,nope
Heiligenhäuschen,nordwestlich des Ortes an der K 51,Irmtraut,1859,Heiligenhäuschen; bezeichnet 18[59],,nope,nope
