Brunnenstraße 9,Gering,"Fachwerkhaus, teilweise massiv und verkleidet, 19. Jahrhundert",50.272785,7.264002
(bei) Brunnenstraße 17,Gering,"Brunnen, Basalt, bezeichnet 1859",50.273476,7.263625
Eltztalstraße,Gering,"Wegekreuz, Nischentyp, bezeichnet 1628",52.296269,76.99958
auf dem Friedhof,Gering,"reliefiertes Kriegerdenkmal, 1920/30er Jahre; sieben Grabkreuze, 16. und 18. Jahrhundert; Wegekreuz, bezeichnet 1672",52.296269,76.99958
an der K 29,Gering,"Wegekapelle, wohl aus dem 18. oder 19. Jahrhundert; Nischenkreuz, 1832; Meilenstein, Obelisk, Mitte des 19. Jahrhunderts",49.160943,11.261586
an der L 82,Gering,"Wegekapelle, 19. Jahrhundert",53.975883,10.588352
