Auf der Wiese,Einig,"Katholische Kapelle St. Luzia; spätgotischer Chor, Schiff 1910, Architekt Peter Marx, Trier; an der Kirche Kreuz, bezeichnet 1605; Gesamtanlage mit Einfassung",50.281201,7.275321
"Geringerstraße, Ecke Kirchstraße",Einig,"Grabkreuz, bezeichnet 1788","",""
Hauptstraße 2,Einig,"Hofanlage, 19. Jahrhundert",50.28321,7.277099
"Mayener Straße, Ecke Hauptstraße",Einig,Bildstock,50.28207,7.280019
Kapelle,Einig,"Putzbau, 18. Jahrhundert",51.486038,3.958193
nördlich von Einig,Einig,"Wegekreuz, Nischentyp, bezeichnet 1606",50.283049,7.277593
östlich von Einig,Einig,"Wegekreuz, Basalt, bezeichnet 1706",50.283049,7.277593
