Lindenallee 10, Steimel,"sogenanntes Haus Neitzert; barocker Mansarddachbau, im Dachwerk bezeichnet 1730"
Bergstraße 7, Steimel,"Fachwerkhaus, teilweise massiv und verschiefert, 19. Jahrhundert"
Bergstraße 12, Steimel,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert"
