Kirchstraße 12,Minderlittgen,"Katholische Filialkirche St. Maria; mittelalterlicher Turm, Saalbau bezeichnet 1781, kleiner Anbau bezeichnet 1931; Kreuzigungsbildstock, bezeichnet 1781, Kruzifix bezeichnet 1881",50.008374,6.837895
Zum Berggarten 1,Minderlittgen,"Quereinhaus mit Backofenvorbau, bezeichnet 1810",50.008704,6.837958
nordwestlich der Ortslage an einem Feldweg,Minderlittgen,"Wegekreuz; barockes Schaftkreuz, bezeichnet 1767, Abschlusskreuz um 1900","",""
südöstlich der Ortslage an der Straße nach Wittlich,Minderlittgen,"Heiligenhäuschen; giebelförmig geschlossener Block, wohl aus der ersten Hälfte des 19. Jahrhunderts","",""
