Kirchstraße 13,Meerfeld,"Katholische Pfarrkirche; dreiachsiger Saalbau, 1777, mittelalterlicher, 1865 erhöhter Westturm; Kreuzigungsbildstock, bezeichnet 1794 und 1868; Altarkreuz auf dem Friedhof, Rotsandstein, bezeichnet 18[41]",52.210998,10.071893
Meerbachstraße,Meerfeld,"Heiligenhäuschen; nachbarock, Rotsandstein, bezeichnet 1862",50.094222,6.75649
Vulkanweg 6,Meerfeld,"ehemaliges Pfarrhaus; sechsachsiger Putzbau, bezeichnet 1807; Gesamtanlage mit Scheune, Hoffläche und Bruchsteineinfriedung",50.093685,6.75384
nordöstlich der Ortslage an der Zufahrt zum Meerfelder Maar,Meerfeld,"Obelisk, bezeichnet 1890",50.093997,6.755807
