Alte Poststraße 5,Monzelfeld,"Streckhof, teilweise Fachwerk, 19. Jahrhundert",49.890155,7.0747
"Kirchstraße, auf dem ehemaligen Friedhof (heute Park)",Monzelfeld,"Bildstock, barock, bezeichnet 1665",49.893962,7.072769
Kirchstraße 14,Monzelfeld,"Katholische Pfarrkirche St. Stephanus; Saalbau, 1785, 1887 ff. weitgehend erneuert, 1958 ff. erweitert",49.892639,7.074098
Kirchstraße 16,Monzelfeld,ehemaliges Pfarrhaus; fünfachsiger Krüppelwalmdachbau,49.892999,7.073874
südlich der Ortslage am Hinterbach,Monzelfeld,"ehemalige Mühle; kleiner Bruchsteinbau, teilweise Fachwerk, 18. oder 19. Jahrhundert",51.9335,12.225388
