(an) Brunnenstraße 21,Heidenburg,"Wegekreuz; klassizistisches Schaftkreuz, Rotsandstein, bezeichnet 1850",49.798667,6.921555
(an) Kirchstraße 1,Heidenburg,"Wegekreuz; Schaftkreuz, bezeichnet 1714",49.797975,6.918366
Kirchstraße 31,Heidenburg,"Katholische Pfarrkirche St. Michael; neugotischer Saalbau, 1865–67",49.800225,6.917836
"(gegenüber) Kirchstraße 31, auf dem Friedhof",Heidenburg,"Friedhofskapelle; ehemals katholische Pfarrkirche St. Michael; spätgotischer ehemaliger Chor; neugotisches Pfarrergrabmal, bezeichnet 1906; Schaftkreuz, Rotsandstein, wohl aus der ersten Hälfte des 19. Jahrhunderts",48.074934,8.643239
Stallergarten,Heidenburg,"Wegekreuz; Holzkreuz, bezeichnet 1950",49.413484,8.708062
nordwestlich der Ortslage an der Straße nach Leiwen,Heidenburg,Wegekreuz; Holzkreuz,"",""
südöstlich der Ortslage an der Straße nach Talling,Heidenburg,Kriegerdenkmal 1914/18,"",""
südöstlich der Ortslage an der Straße nach Talling,Heidenburg,Wegekreuz; Holzkreuz,"",""
südwestlich der Ortslage an der Straße nach Büdlich,Heidenburg,"Wegekreuz; klassizistisches Sockelkreuz, bezeichnet 1866",51.165109,14.421293
