Am Frohnbach,Burgen (Hunsrück),"Evangelische Kirche; Saalbau, Anfang des 18. Jahrhunderts, romanischer Westturm",49.878965,6.998137
(zu) Am Frohnbach 2,Burgen (Hunsrück),"ehemaliges Wohnhaus, 18. Jahrhundert und jünger, Zierfachwerk wohl noch aus dem 17. Jahrhundert",49.880265,7.000014
Bergstraße 9a,Burgen (Hunsrück),"Katholische Kirche Herz Jesu; kleiner neuromanischer Bruchsteinsaal, 1908",49.876056,6.999484
Lindenstraße 1,Burgen (Hunsrück),"Quereinhaus; Mansarddachbau, teilweise Fachwerk, bezeichnet 1824",49.880195,7.000607
Lindenstraße 6,Burgen (Hunsrück),"Wohnhaus einer Hofanlage; repräsentativer Mansardwalmdachbau, Schiefer, bezeichnet 1907",49.879905,6.999978
Mühlenweg 1,Burgen (Hunsrück),"sogenannte Hasenmühle; Streckhof, teilweise massiv, bezeichnet 1845",49.882825,7.002062
Poststraße 2,Burgen (Hunsrück),"dreiachsiges Wohnhaus, erste Hälfte des 19. Jahrhunderts",49.880236,7.000867
