Brunnenstraße 4,Geisig,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert",50.254997,7.792086
Mühlbachstraße,Geisig,"Evangelische Kapelle; barocker Saalbau, wohl aus dem 18. Jahrhundert",50.255683,7.794394
"Habbesmühle 1, östlich der Ortslage am Mühlbach",Geisig,"ehemalige Mühle, wohl aus dem 19. Jahrhundert, Fachwerkscheune mit Drempel","",""
"Weidenmühle 1, östlich der Ortslage am Mühlbach",Geisig,"Pfeiffermühle; Mühlenanwesen; Fachwerkhaus, teilweise massiv, wohl vom Anfang des 19. Jahrhunderts, Kniestock um 1900, Fachwerkscheune aus dem 19. Jahrhundert",49.204278,9.492992
