Miehlener Straße 1,Endlichhofen,"Hofanlage; langgestrecktes Fachwerkhaus mit Kniestock, teilweise Bruchstein, spätes 19. Jahrhundert, Wirtschaftsgebäude, wohl älteres Stallgebäude, teilweise massiv",50.202096,7.817894
Miehlener Straße 7,Endlichhofen,"Fachwerkhaus, 18. Jahrhundert",50.202996,7.818667
Miehlener Straße 9,Endlichhofen,"Fachwerkhaus, 17. oder 18. Jahrhundert",50.203105,7.818352
Oberdorf 6,Endlichhofen,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Kniestock um 1900",50.20197,7.817113
Oberdorf 15,Endlichhofen,"verputztes Wohnhaus, 19. Jahrhundert (?)",50.202627,7.816484
"Oberdorf, Ecke Nastätter Straße",Endlichhofen,"Pumpbrunnen, zweite Hälfte des 19. Jahrhunderts",50.202581,7.816646
