original address|latitude|longitude
Kerststraße 24, Kaiserslautern|49.44228|7.76774
Klosterstraße 1, Kaiserslautern|49.44599|7.77227
Klosterstraße 3 , 5, Kaiserslautern|49.4461|7.7725
Klosterstraße 6, Kaiserslautern|49.4461|7.773141
(an) Klosterstraße 13, Kaiserslautern|49.44621|7.77339
Königstraße 54-82 (gerade Nrn.), 71-85 (ungerade Nrn.), Albert-Schweitzer-Straße 39, 41, 43, 45, Friedrich-Engels-Straße 1, Friedrich-Karl-Straße 2, Hartmannstraße 1, 3, 5, 19, 22, 24, Orffstraße 1, 2, 3, 4, 5, 6, 8, St. Marien-Platz 13, Werderstraße 1-4, "Westliche Königstraße" (Denkmalzone), Kaiserslautern||
Königstraße 84-96 (gerade Nrn.), 97-109 (ungerade Nrn.), Albert-Schweitzer-Straße 47-63 (ungerade Nrn.), Goebenstraße 1, 3, 5, 7, Pfaffstraße 24, 26, 28, 30, Roonstraße 15, 17, Rundbau" (Denkmalzone), Kaiserslautern||
(bei) Kreuzhofstraße 2, Kaiserslautern|49.46939|7.73818
Mainzer Tor 3 , 4, Steinstraße 67, Kaiserslautern|49.44802|7.77608
Mannheimer Straße 25, Kaiserslautern|49.44696|7.77919
Mannheimer Straße 33, Kaiserslautern|49.44636|7.78012
Mannheimer Straße 105, Kaiserslautern|49.44564|7.78625
Mannheimer Straße 17, 19-21 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Mannheimer Straße 205, 210, 212, 214, Stiftswaldstraße 60, 23er-Kaserne (Kleberkaserne) (Denkmalzone), Kaiserslautern|49.440066|7.749126
Mannheimer Straße, Donnersbergstraße, Alter Hauptfriedhof (Denkmalzone), Kaiserslautern|49.440066|7.749126
Marktstraße, Kaiserslautern|49.443395|7.769463
Marktstraße 1, Spittelstraße 7, Kaiserslautern|49.44531|7.77162
Marktstraße 8, Kaiserslautern|49.44519|7.77109
Marktstraße 11, Kaiserslautern|49.44467|7.77125
Marktstraße 12 /14, Kaiserslautern|49.44503|7.771
Marktstraße 15 /17, Kaiserslautern|49.44424|7.77056
Marktstraße 18, Kaiserslautern|49.44477|7.77066
Marktstraße 20 /22, Kaiserslautern|49.44477|7.77056
Marktstraße 26, Kaiserslautern|49.44445|7.77047
Marktstraße 38, Kaiserslautern|49.44416|7.76996
Martin-Luther-Straße 20, Kaiserslautern|49.44806|7.77005
Matzenstraße 2, Kaiserslautern|49.44617|7.77444
Maxstraße 17, Kaiserslautern|49.44665|7.76656
Maxstraße 19, Kaiserslautern|49.44686|7.76659
Medicusstraße 15, Kaiserslautern|49.439139|7.761153
Medicusstraße 36, 38, 40, 42, 44, St.-Marien-Platz 12 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Moltkestraße 25, Kaiserslautern|49.441545|7.763442
Moltkestraße 27, Kaiserslautern|49.441418|7.763544
(zu) Morlauterer Straße 7, Kaiserslautern|49.44873|7.76468
Morlauterer Straße 31, Kaiserslautern|49.451763|7.764054
Münchstraße 2, Kaiserslautern|49.44406|7.77081
Münchstraße 6, Kaiserslautern|49.44384|7.77094
Münchstraße 10, Kaiserslautern|49.44366|7.77129
Museumsplatz 1, Am Turnerheim 1, Von-Braun- Straße 16, Kaiserslautern|49.450234|7.770537
Osterstraße 2, Münchstraße 8, Kaiserslautern|49.44374|7.77118
Osterstraße 7, Kaiserslautern|49.44353|7.77074
Pariser Straße 300, Kaiserslautern|49.43884|7.723
Parkstraße 11, Kaiserslautern|49.43848|7.77035
Parkstraße 46, Kaiserslautern|49.438155|7.766216
Parkstraße 47, Kaiserslautern|49.4375|7.763343
Parkstraße 49 /51, Kaiserslautern|49.437512|7.763133
Parkstraße 55, Kaiserslautern|49.437275|7.762486
Parkstraße 56, Kaiserslautern|49.437997|7.765019
Parkstraße 59 /61, Kaiserslautern|49.43722|7.762278
Parkstraße 63, Kaiserslautern|49.437089|7.761869
Parkstraße 71, Kaiserslautern|49.436758|7.761161
Parkstraße 75, Kaiserslautern|49.436725|7.760759
Pfaffenbergstraße 108, Kaiserslautern|49.42576|7.75831
Pirmasenser Straße 1, Kaiserslautern|49.441974|7.768105
Pirmasenser Straße 2 ,4,6, Kaiserslautern|49.442033|7.767812
Pirmasenser Straße 27, Kaiserslautern|49.440645|7.766221
Pirmasenser Straße 32 /34, Kaiserslautern|49.440705|7.766091
Pirmasenser Straße 44 a, Kaiserslautern|49.439935|7.765226
Pirmasenser Straße 59, Kaiserslautern|49.43897|7.76369
Pirmasenser Straße 74, Kaiserslautern|49.438239|7.760997
Pirmasenser Straße 58, 59, 60, 60a, 60b, 62-74, Trippstadter Straße 2a, 5, Parkstraße 47-77 (ungerade Nrn.), Karcherstraße 2, 4, 6, 8, 16, 18, 20, Medicusstraße 1, Beethovenstraße 56,, Kaiserslautern||
Reichswaldstraße 79, 81, 83 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Richard-Wagner-Straße 52, Kaiserslautern|49.440536|7.766389
Richard-Wagner-Straße 54 , 56, Kaiserslautern|49.440187|7.76657
Richard-Wagner-Straße 63, Kaiserslautern|49.439235|7.767454
Richard-Wagner-Straße 64 , 66, 68, Kaiserslautern|49.43938|7.76675
Richard-Wagner-Straße 70 /72, Kaiserslautern|49.438987|7.767192
Richard-Wagner-Straße 71, Kaiserslautern|49.438742|7.767654
Richard-Wagner-Straße 80, Kaiserslautern|49.438425|7.767464
Richard-Wagner-Straße 81, Kaiserslautern|49.438159|7.767983
Richard-Wagner-Straße 91, Kaiserslautern|49.437697|7.768164
Richard-Wagner-Straße 95 , 97, 99, Kaiserslautern|49.43732|7.76832
Richard-Wagner-Straße 107, Kaiserslautern|49.43673|7.76867
Richard-Wagner-Straße 37-51, 52-87, 89, 91-107 (ungerade Nrn.) (Denkmalzone), Kaiserslautern|49.440066|7.749126
Rittersberg 14, Kaiserslautern|49.447009|7.770708
Rudolf-Breitscheid-Straße 6, Kaiserslautern|49.437678|7.766614
Rudolf-Breitscheid-Straße 58, Kaiserslautern|49.44103|7.76227
Rudolf-Breitscheid-Straße 27, 29, 31 (Denkmalzone), Kaiserslautern|49.440066|7.749126
Rummelstraße 9, Kaiserslautern|49.44318|7.77139
Scheidstraße 1, Kaiserslautern|49.446334|7.774254
Schillerplatz 3, Kaiserslautern|49.4451|7.76948
Schillerplatz 4, Kaiserslautern|49.44516|7.77029
Schillerplatz 5, Kaiserslautern|49.4451|7.76939
Schillerplatz 7, Kaiserslautern|49.445262|7.769007
Schillerstraße 1, Kaiserslautern|49.44494|7.77038
Schoenstraße 10, Kaiserslautern|49.447152|7.756456
Schoenstraße, Lauterstraße, Mühlstraße, Forellenstraße, "Ehem. Kammgarnspinnerei" (Denkmalzone), Kaiserslautern|49.440066|7.749126
Schumannstraße 10, Kaiserslautern|49.438725|7.7645
Spittelstraße, Kaiserslautern|49.445339|7.772224
St.-Marien-Platz 20, Kaiserslautern|49.442103|7.761318
St.-Marien-Platz 18, 19, Rudolf-Breitscheid-Straße 62 (Denkmalzone), Kaiserslautern|49.440066|7.749126
St.-Marien-Platz 23, 24, 25, 26, Kindergartenstraße 19 (Denkmalzone), Kaiserslautern|49.440066|7.749126
St.-Martins-Platz, Kaiserslautern|49.44597|7.77195
St.-Martins-Platz, Kaiserslautern|49.44597|7.77195
St.-Martins-Platz 1, Kaiserslautern|49.445598|7.770982
St.-Martins-Platz 2, Kaiserslautern|49.44604|7.77167
St.-Martins-Platz 3, Kaiserslautern|49.4461|7.7718
St.-Martins-Platz 4, Kaiserslautern|49.445977|7.772148
St.-Martins-Platz 6, Kaiserslautern|49.44573|7.77201
Steinstraße 10, Kaiserslautern|49.4462|7.77223
Steinstraße 15, Kaiserslautern|49.44634|7.77216
Steinstraße 23, Kaiserslautern|49.4466|7.7728
Steinstraße 39, Kaiserslautern|49.44708|7.77394
Steinstraße 47, Kaiserslautern|49.44742|7.77447
Steinstraße 48, Kaiserslautern|49.44739|7.7755
Steinstraße 49, Kaiserslautern|49.44752|7.7749
Steinstraße 55, Kaiserslautern|49.44796|7.77543
Stiftsplatz 9, Kaiserslautern|49.44451|7.77306
Trippstadter Straße 5, Kaiserslautern|49.43827|7.76391
Villenstraße 6 /8, Kaiserslautern|49.448631|7.767583
Villenstraße 21, Kaiserslautern|49.4495|7.77188
(vor) Villenstraße 21, Kaiserslautern|49.4495|7.77188
Wilhelmstraße 29, Kaiserslautern|49.44131|7.77663
Wilhelmstraße 1, 3, 5, Bismarckstraße 37 f, g, h (Denkmalzone), Kaiserslautern|49.440066|7.749126
Wilhelmstraße 11-29 (ungerade Nrn.) (Denkmalzone), Kaiserslautern|49.440066|7.749126
Willy-Brandt-Platz 5, Kaiserslautern|49.44601|7.7702
Stiftswalder Forsthaus, nördlich der Velmannstraße, Kaiserslautern|49.437042|7.816635
Waschmühltalbrücke, nördlich der Stadt über dem steil eingeschnittenen Waschmühltal, Kaiserslautern|49.440066|7.749126

