"Bocksteinstraße, Ecke Weinbergstraße",Ockfen,"Kreuzigungsbildstock; Schaft 1827, Aufsatz bezeichnet 1667",49.622498,6.589143
"Im Cordel, auf dem Friedhof (1870 angelegt)",Ockfen,"neugotisches Friedhofskreuz, 19. Jahrhundert; Grabkreuz, bezeichnet 1852",49.622772,6.586106
Kirchstraße,Ockfen,"Katholische Pfarrkirche St. Valentin; neugotische Stufenhalle, 1904–06, Architekt Ernst Brand, Trier",49.624896,6.584229
Klosterstraße 1,Ockfen,"Hofhaus St. Martin; spätbarocker Dreiseithof, bezeichnet 1762",49.623916,6.584148
