Dhrontalstraße 1,Bescheid (Hunsrück),"ehemaliges katholisches Pfarrhaus; historistisches Wohnhaus, 1908",49.753058,6.89033
(an) Dhrontalstraße 4,Bescheid (Hunsrück),"spätklassizistische Sandsteinportal, bezeichnet 1869, mit bauzeitlichem Türblatt",49.752936,6.890545
Dhrontalstraße 7,Bescheid (Hunsrück),"Breitgiebelhaus, 18. Jahrhundert, 1833 verändert",49.753308,6.890491
Dhrontalstraße 12,Bescheid (Hunsrück),"Katholische Pfarrkirche St. Trinitatis; barocker Saalbau, 1746; Rundturm romanisch, Chor spätgotisch, 1854 Erweiterung; im ummauertem Kirchhof Schaftkreuz, bezeichnet 1823",49.753466,6.89086
Dhrontalstraße 15,Bescheid (Hunsrück),"Breitgiebelhaus, teilweise Fachwerk (verputzt), 18. Jahrhundert",49.753867,6.891183
Hermeskeiler Straße ohne Nummer,Bescheid (Hunsrück),"Wegekapelle, Putzbau, 1863",49.750945,6.890959
(neben) Kirchstraße 5,Bescheid (Hunsrück),"Einhaus, teilweise Fachwerk, 18. Jahrhundert, Umbau im frühen 19. Jahrhundert",49.753035,6.891075
Trierer Straße ohne Nummer,Bescheid (Hunsrück),"Wegekapelle, Putzbau, um 1900",49.751492,6.888659
Trierer Straße 3,Bescheid (Hunsrück),"Quereinhaus, bezeichnet 1829",49.752156,6.889943
